rank|name|revenue|industry|employees|founded|growth|city|state
3946|Chargeback Gurus|3.9|Financial Services|150.0|2013.0|73|Allen|TX
3947|Amanda Howard Real Estate|4.2|Real Estate|14.0|2009.0|72|Huntsville|AL
3948|vCORE Technology Partners|48.8|IT Services||2010.0|72|Scottsdale|AZ
3949|SomerTile|18.9|Consumer Products & Services|76.0|1988.0|72|Manalapan|NJ
3950|Carnegie Homes and Construction|4.2|Construction|14.0|2010.0|72|Houston|TX
3951|Archer Malmo|26.0|Advertising & Marketing|205.0|1952.0|72|Memphis|TN
3952|IronEdge Group|5.5|IT Services|33.0|2005.0|72|Houston|TX
3953|Capital Edge Consulting|8.0|Government Services|24.0|2010.0|72|McLean|VA
3954|SOAProjects|26.7|Financial Services|216.0|2004.0|72|Mountain View|CA
3955|Knight Point Systems|118.7|IT Services|311.0|2005.0|72|Reston|VA
3956|1SEO.com Digital Agency|5.6|Advertising & Marketing|54.0|2009.0|72|Bristol|PA
3957|HS Brands International|9.3|Business Products & Services|303.0|2001.0|72|Foxboro|MA
3958|STS Education(formerly School Tech Supply)|28.8|Education|60.0|2010.0|72|Simi valley|CA
3959|Alliant National Title Insurance Company|123.6|Insurance|68.0|2005.0|72|Longmont|CO
3960|InstallNET International|26.2|Business Products & Services|45.0|1996.0|72|Crofton|MD
3961|SoftDev|2.7|Government Services|20.0|1999.0|72|Raleigh|NC
3962|Chetu|36.7|Software|1206.0|2000.0|72|Plantation|FL
3963|Concierge Auctions|21.4|Real Estate|66.0|2008.0|72|Austin|TX
3964|Nebo|10.4|Advertising & Marketing|80.0|2004.0|72|Atlanta|GA
3965|Suburban Dream Homes|5.5|Construction|9.0|2010.0|72|Eden Prairie|MN
3966|NoHo Hospitality Group|68.7|Food & Beverage|1025.0|2009.0|72|New York City|NY
3967|Apex Revenue Technologies|78.8|Business Products & Services|175.0|1995.0|72|St. Paul|MN
3968|MAQ Software|38.4|Advertising & Marketing|500.0|2000.0|72|Redmond|WA
3969|Metro Stars Gymnastics|2.1|Education|74.0|2006.0|72|Omaha|NE
3970|Signature Closers|6.8|Real Estate|28.0|2006.0|72|Upper Arlington|OH
3971|Complete Network Support|3.0|IT Services|15.0|2011.0|72|Albany|NY
3972|The Learning Experience|56.6|Education|653.0|2002.0|72|Boca Raton|FL
3973|Lumitec Lighting|11.9|Engineering|44.0|2007.0|71|Delray Beach|FL
3974|LeadMD|5.9|Advertising & Marketing|38.0|2010.0|71|Scottsdale|AZ
3975|SafeGuard World International|45.3|Business Products & Services|463.0|2008.0|71|Austin|TX
3976|Boost Rewards & Shumsky|29.8|Business Products & Services|65.0|2005.0|71|Dayton|OH
3977|CollaborateMD|11.6|Health|44.0|1999.0|71|Orlando|FL
3978|DWM Facilities Maintenance|25.3|Business Products & Services|59.0|1997.0|71|Latham|NY
3979|Hawthorne|15.5|Advertising & Marketing|70.0|1986.0|71|Los Angeles|CA
3980|DaySmart Software|11.4|Software|51.0|1999.0|71|Wixom|MI
3981|Audacious Inquiry|17.0|Software|88.0|2004.0|71|Baltimore|MD
3982|WatchGuard Video|77.1|Government Services|242.0|2002.0|71|Allen|TX
3983|DataLab USA|34.1|IT Services|82.0|1979.0|71|Germantown|MD
3984|InContext Solutions|9.2|Business Products & Services|82.0|2009.0|71|Chicago|IL
3985|Vertex Innovations|7.6|Telecommunications|39.0|2003.0|71|Littleton|CO
3986|Talent Retriever|2.4|Human Resources|33.0|2003.0|71|North Andover|MA
3987|Alliance Resource Group|6.5|Financial Services|39.0|2003.0|71|Irvine|CA
3988|MRO|48.1|Health|690.0|2002.0|71|Norristown|PA
3989|Abacus Wealth Partners|12.7|Financial Services|42.0|1999.0|71|Santa Monica|CA
3990|Repipe Specialists|9.7|Construction|12.0|1991.0|71|Burbank|CA
3991|Azimuth|15.8|Government Services|124.0|2001.0|71|Beavercreek|OH
3992|Program Productions|47.6|Media|5000.0|1995.0|71|Lombard|IL
3993|COZZIA USA|20.9|Manufacturing|26.0|2009.0|71|Covina|CA
3994|Payne Capital Management|4.7|Financial Services|17.0|2008.0|71|New York City|NY
